-20.0 35.0
-19.97997997997998 34.852049164197155
-19.95995995995996 34.70449262409892
-19.93993993993994 34.55732988622635
-19.91991991991992 34.41056045710049
-19.8998998998999 34.26418384324238
-19.87987987987988 34.11819955117306
-19.85985985985986 33.97260708741359
-19.83983983983984 33.82740595848498
-19.81981981981982 33.68259567090831
-19.7997997997998 33.538175731204596
-19.77977977977978 33.394145645894895
-19.75975975975976 33.250504921500244
-19.73973973973974 33.107253064541695
-19.71971971971972 32.96438958154027
-19.6996996996997 32.821913979017026
-19.67967967967968 32.67982576349301
-19.65965965965966 32.53812444148928
-19.63963963963964 32.39680951952683
-19.61961961961962 32.25588050412675
-19.5995995995996 32.11533690181006
-19.57957957957958 31.975178219097813
-19.55955955955956 31.83540396251105
-19.53953953953954 31.69601363857081
-19.51951951951952 31.55700675379815
-19.4994994994995 31.418382814714082
-19.47947947947948 31.280141327839672
-19.45945945945946 31.142281799695972
-19.43943943943944 31.004803736804007
-19.41941941941942 30.86770664568482
-19.3993993993994 30.73099003285947
-19.37937937937938 30.594653404848987
-19.35935935935936 30.45869626817442
-19.33933933933934 30.323118129356807
-19.31931931931932 30.187918494917188
-19.2992992992993 30.053096871376614
-19.27927927927928 29.918652765256127
-19.25925925925926 29.784585683076767
-19.23923923923924 29.650895131359583
-19.21921921921922 29.51758061662561
-19.1991991991992 29.3846416453959
-19.17917917917918 29.252077724191476
-19.15915915915916 29.119888359533416
-19.13913913913914 28.98807305794273
-19.11911911911912 28.85663132594048
-19.0990990990991 28.725562670047697
-19.07907907907908 28.594866596785433
-19.05905905905906 28.464542612674734
-19.03903903903904 28.33459022423663
-19.01901901901902 28.205008937992176
-18.998998998999 28.075798260462406
-18.97897897897898 27.946957698168372
-18.95895895895896 27.818486757631106
-18.93893893893894 27.690384945371665
-18.91891891891892 27.562651767911085
-18.8988988988989 27.435286731770407
-18.87887887887888 27.308289343470676
-18.85885885885886 27.181659109532934
-18.83883883883884 27.055395536478223
-18.81881881881882 26.9294981308276
-18.7987987987988 26.803966399102077
-18.77877877877878 26.678799847822727
-18.75875875875876 26.553997983510584
-18.73873873873874 26.429560312686693
-18.71871871871872 26.305486341872083
-18.6986986986987 26.181775577587807
-18.67867867867868 26.05842752635492
-18.65865865865866 25.935441694694447
-18.63863863863864 25.812817589127434
-18.61861861861862 25.690554716174937
-18.5985985985986 25.568652582357984
-18.57857857857858 25.447110694197626
-18.55855855855856 25.3259285582149
-18.53853853853854 25.20510568093086
-18.51851851851852 25.084641568866537
-18.4984984984985 24.964535728542984
-18.47847847847848 24.84478766648124
-18.45845845845846 24.725396889202344
-18.43843843843844 24.60636290322734
-18.41841841841842 24.487685215077274
-18.3983983983984 24.369363331273195
-18.37837837837838 24.25139675833613
-18.35835835835836 24.133785002787143
-18.33833833833834 24.016527571147257
-18.31831831831832 23.89962396993753
-18.2982982982983 23.783073705678994
-18.27827827827828 23.666876284892705
-18.25825825825826 23.55103121409969
-18.23823823823824 23.43553799982101
-18.21821821821822 23.32039614857769
-18.1981981981982 23.205605166890777
-18.17817817817818 23.091164561281328
-18.15815815815816 22.97707383827038
-18.13813813813814 22.863332504378963
-18.11811811811812 22.749940066128126
-18.0980980980981 22.63689603003893
-18.07807807807808 22.524199902632393
-18.05805805805806 22.411851190429577
-18.03803803803804 22.299849399951505
-18.01801801801802 22.188194037719246
-17.997997997998 22.07688461025382
-17.97797797797798 21.965920624076286
-17.95795795795796 21.85530158570767
-17.93793793793794 21.745027001669033
-17.91791791791792 21.63509637848141
-17.8978978978979 21.525509222665846
-17.87787787787788 21.416265040743376
-17.85785785785786 21.30736333923505
-17.83783783783784 21.198803624661917
-17.81781781781782 21.090585403545017
-17.7977977977978 20.982708182405386
-17.77777777777778 20.87517146776407
-17.75775775775776 20.767974766142103
-17.73773773773774 20.661117584060552
-17.71771771771772 20.554599428040444
-17.6976976976977 20.448419804602818
-17.67767767767768 20.342578220268727
-17.65765765765766 20.237074181559212
-17.63763763763764 20.131907194995314
-17.61761761761762 20.027076767098077
-17.5975975975976 19.922582404388535
-17.57757757757758 19.818423613387754
-17.55755755755756 19.714599900616754
-17.53753753753754 19.61111077259659
-17.51751751751752 19.507955735848295
-17.4974974974975 19.40513429689293
-17.47747747747748 19.302645962251518
-17.45745745745746 19.200490238445116
-17.43743743743744 19.098666631994757
-17.41741741741742 18.9971746494215
-17.3973973973974 18.896013797246365
-17.37737737737738 18.79518358199041
-17.35735735735736 18.694683510174684
-17.33733733733734 18.59451308832021
-17.31731731731732 18.494671822948053
-17.2972972972973 18.39515922057924
-17.27727727727728 18.295974787734824
-17.25725725725726 18.197118030935833
-17.237237237237238 18.098588456703332
-17.217217217217218 18.000385571558358
-17.197197197197198 17.90250888202193
-17.177177177177178 17.80495789461512
-17.157157157157158 17.707732115858967
-17.137137137137138 17.610831052274502
-17.117117117117118 17.514254210382777
-17.097097097097098 17.41800109670483
